customer_id,revenue,orders,skus,items,first_order_date,last_order_date,avg_items,avg_order_value,tenure,recency,cohort,heterogeneity,r,f,m,h,rfm,rfm_score,rfm_segment_name,avg_latency,min_latency,max_latency,std_latency,latency_cov,days_to_next_order,latency_label,abc_class_12m,abc_rank_12m,predicted_purchases,predicted_aov,predicted_clv,predicted_abc_class,predicted_abc_class_rank
12346.0,0.0,2,1,0,2011-01-18 10:01:00,2011-01-18 10:17:00,0.0,0.0,325,325,20111,1,1,1,1,1,111,3,Risky,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,C,4275.0,0.18799198780070028,0.0,0.0,C,3564.0
12347.0,4310.0,7,103,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,351.14,615.71,367,2,20104,103,5,2,1,2,521,8,Loyal,52.0,37.0,90.0,18.389308487995592,0.3536405478460691,68.38930848799559,Order not due,A,319.0,1.404166392594661,569.9788363872395,834.2684108950034,A,481.0
12348.0,1797.24,4,22,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,585.25,449.31,358,75,20104,22,4,1,1,1,411,6,Loyal,70.0,40.0,173.0,69.75910932153114,0.996558704593302,64.75910932153114,Order overdue,A,978.0,0.8030977302616586,333.78423461515456,307.18953938785205,C,1846.0
12349.0,1757.55,1,73,631,2011-11-21 09:51:00,2011-11-21 09:51:00,631.0,1757.55,18,18,20114,73,5,1,1,2,511,7,Loyal,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,A,1006.0,0.8417937920367643,0.0,0.0,C,3564.0
12350.0,334.4,1,17,197,2011-02-02 16:01:00,2011-02-02 16:01:00,197.0,334.4,310,310,20111,17,1,1,1,1,111,3,Risky,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,C,3058.0,0.19540731361062036,0.0,0.0,C,3564.0
12352.0,1545.41,11,59,470,2011-02-16 12:33:00,2011-11-03 14:37:00,42.73,140.49,296,36,20111,59,5,2,1,2,521,8,Loyal,32.0,0.0,182.0,64.90615936727056,2.028317480227205,60.90615936727056,Order due soon,A,1128.0,1.6757377016833683,376.17535872950964,645.3596793881198,A,749.0
12353.0,89.0,1,4,20,2011-05-19 17:47:00,2011-05-19 17:47:00,20.0,89.0,204,204,20112,4,2,1,1,1,211,4,Hold and improve,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,C,4131.0,0.27092656448962643,0.0,0.0,C,3564.0
12354.0,1079.4,1,58,530,2011-04-21 13:11:00,2011-04-21 13:11:00,530.0,1079.4,232,232,20112,58,2,1,1,2,211,4,Hold and improve,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,B,1528.0,0.24583051835424385,0.0,0.0,C,3564.0
12355.0,459.4,1,13,240,2011-05-09 13:49:00,2011-05-09 13:49:00,240.0,459.4,214,214,20112,13,2,1,1,1,211,4,Hold and improve,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,C,2635.0,0.26139617074774296,0.0,0.0,C,3564.0
12356.0,2811.43,3,53,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,530.33,937.14,325,22,20111,53,5,1,1,1,511,7,Loyal,101.0,80.0,223.0,101.1162697096763,1.0011511852443198,180.11626970967632,Order due soon,A,582.0,0.642931006369051,324.0394187983523,255.9591594091143,C,2109.0
